"Flatonia town, Texas",1441
"Somerville city, Texas",1436
"Aurora city, Texas",1434
"New Fairview city, Texas",1431
"Grapeland city, Texas",1426
"Ivanhoe city, Texas",1417
"Sundown city, Texas",1414
"Boyd town, Texas",1411
"La Vernia city, Texas",1401
"Lakeside town (Tarrant County), Texas",1391
"Hubbard city, Texas",1390
"Menard city, Texas",1389
"Tatum city, Texas",1386
"Hico city, Texas",1385
"Big Sandy town, Texas",1384
"Moody city, Texas",1381
"Iowa Colony village, Texas",1380
"Old River-Winfree city, Texas",1376
"Rosebud city, Texas",1376
"Woodbranch city, Texas",1367
"Elkhart town, Texas",1329
"Cut and Shoot city, Texas",1328
"Naples city, Texas",1326
"Farwell city, Texas",1318
"Orange Grove city, Texas",1313
"China Grove town, Texas",1311
"Hawkins city, Texas",1305
"Cross Roads town, Texas",1302
"Thorndale city, Texas",1300
"Eden city, Texas",1297
"Wallis city, Texas",1297
"Emory city, Texas",1295
"Roscoe city, Texas",1293
"Tye city, Texas",1293
"Munday city, Texas",1289
"Benavides city, Texas",1285
"Von Ormy city, Texas",1275
"Palm Valley city, Texas",1271
"Martindale city, Texas",1266
"Florence city, Texas",1262
"Bevil Oaks city, Texas",1251
"Alto town, Texas",1230
"Brownsboro city, Texas",1229
"LaCoste city, Texas",1229
"Iraan city, Texas",1218
"Ore City city, Texas",1216
"Rogers town, Texas",1215
"Jewett city, Texas",1211
"Hemphill city, Texas",1210
"Clear Lake Shores city, Texas",1208
"Holiday Lakes town, Texas",1208
"China city, Texas",1205
"Spur city, Texas",1203
"Lexington town, Texas",1202
"Frankston town, Texas",1189
"Valley Mills city, Texas",1189
"Cottonwood Shores city, Texas",1188
"Claude city, Texas",1187
"Kemp city, Texas",1184
"Lorenzo city, Texas",1182
"Newark city, Texas",1161
"Tenaha town, Texas",1158
"Oyster Creek city, Texas",1156
"Calvert city, Texas",1154
"Rocksprings town, Texas",1150
"Gruver city, Texas",1149
"Nevada city, Texas",1148
"New Summerfield city, Texas",1148
"Timpson city, Texas",1143
"Holland town, Texas",1142
"Petersburg city, Texas",1137
"Knox City town, Texas",1136
"Fairchilds village, Texas",1135
"Clint town, Texas",1131
"Godley city, Texas",1131
"Ransom Canyon town, Texas",1123
"Marion city, Texas",1121
"Waelder city, Texas",1121
"Uhland city, Texas",1119
"Chico city, Texas",1116
"Ames city, Texas",1115
"Anton city, Texas",1100
"Hackberry town, Texas",1099
"Kempner city, Texas",1097
"Gholson city, Texas",1094
"New Waverly city, Texas",1094
"Pine Island town, Texas",1094
"Lindsay city, Texas",1092
"Runge town, Texas",1092
"Redwater city, Texas",1091
"Paducah town, Texas",1090
"Hill Country Village city, Texas",1084
"Hart city, Texas",1078
"Asherton city, Texas",1077
"Bogata city, Texas",1077
"St. Paul town, Texas",1077
"Tom Bean city, Texas",1076
